Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
GAS,Toro Rosso,Abu Dhabi GP,High-Downforce,30.0,30.3,1015.6,0.0,100.671,2.180000000000007,HYPERSOFT,26.2,57.9,1016.1,0.0,98.506,1.269999999999996,HYPERSOFT,32.0,29.9,1015.7,0.0,99.74,2.563999999999993,HYPERSOFT,,,,,,,,,28.6,46.1,1016.3,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
HUL,Renault,Abu Dhabi GP,High-Downforce,29.7,32.8,1015.8,0.0,101.023,2.5319999999999965,ULTRASOFT,26.1,57.8,1016.0,0.0,98.23,0.9939999999999998,HYPERSOFT,31.9,30.0,1015.7,0.0,98.85,1.6739999999999924,HYPERSOFT,,,,,,,,,28.7,44.0,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Alpine-Renault,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
PER,Racing Point,Abu Dhabi GP,High-Downforce,30.1,30.0,1015.6,0.0,101.075,2.584000000000003,HYPERSOFT,26.2,58.4,1016.1,0.0,98.806,1.5699999999999932,HYPERSOFT,32.0,29.3,1015.6,0.0,99.053,1.8769999999999956,HYPERSOFT,,,,,,,,,28.6,48.7,1016.5,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Force India-Racing Point-Aston Martin,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
HAR,Toro Rosso,Abu Dhabi GP,High-Downforce,29.7,32.8,1015.8,0.0,101.137,2.646000000000001,HYPERSOFT,26.2,57.7,1016.0,0.0,98.957,1.7209999999999894,HYPERSOFT,32.0,29.1,1015.6,0.0,99.074,1.897999999999996,HYPERSOFT,,,,,,,,,28.6,46.5,1016.4,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
STR,Williams,Abu Dhabi GP,High-Downforce,29.7,32.8,1015.8,0.0,101.493,3.001999999999996,HYPERSOFT,26.2,57.9,1016.1,0.0,100.046,2.8100000000000023,HYPERSOFT,31.9,30.0,1015.7,0.0,100.117,2.9410000000000025,HYPERSOFT,,,,,,,,,28.6,46.3,1016.4,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Williams,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
ERI,Sauber,Abu Dhabi GP,High-Downforce,30.0,30.3,1015.6,0.0,101.928,3.4369999999999976,ULTRASOFT,26.2,58.4,1016.1,0.0,99.502,2.265999999999991,HYPERSOFT,32.0,29.9,1015.7,0.0,99.997,2.820999999999998,HYPERSOFT,,,,,,,,,28.6,48.7,1016.5,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
VAN,McLaren,Abu Dhabi GP,High-Downforce,29.6,33.2,1015.8,0.0,102.114,3.6230000000000047,HYPERSOFT,26.2,60.9,1016.3,0.0,99.938,2.701999999999998,HYPERSOFT,31.9,30.0,1015.7,0.0,100.233,3.057000000000002,HYPERSOFT,,,,,,,,,28.6,46.5,1016.4,0.0,HYPERSOFT,2018,2023-2026,0,21,20,McLaren,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
ALO,McLaren,Abu Dhabi GP,High-Downforce,30.0,30.3,1015.6,0.0,102.313,3.8220000000000023,ULTRASOFT,26.2,57.1,1015.9,0.0,98.725,1.48899999999999,HYPERSOFT,32.1,29.8,1015.8,0.0,99.974,2.798000000000002,HYPERSOFT,,,,,,,,,28.6,48.7,1016.5,0.0,HYPERSOFT,2018,2023-2026,0,21,20,McLaren,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
LEC,Sauber,Abu Dhabi GP,High-Downforce,,,,,,,,26.2,57.4,1016.0,0.0,98.831,1.5949999999999989,HYPERSOFT,32.1,30.0,1015.7,0.0,99.282,2.1059999999999945,HYPERSOFT,,,,,,,,,28.5,43.1,1016.7,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
SIR,Williams,Abu Dhabi GP,High-Downforce,,,,,,,,26.1,57.8,1015.9,0.0,100.935,3.698999999999998,HYPERSOFT,31.8,29.7,1015.8,0.0,101.182,4.006,HYPERSOFT,,,,,,,,,28.6,46.3,1016.4,0.0,HYPERSOFT,2018,2023-2026,0,21,20,Williams,Race,Anti-clockwise,5.28,16,Balanced-high speed,1120,5,6,5,3.03,Balanced
HAM,Mercedes,Australian GP,High-Downforce,27.0,32.3,1018.7,0.0,84.026,0.0,ULTRASOFT,30.0,25.5,1015.3,0.0,83.931,0.0,ULTRASOFT,20.4,86.0,1010.0,0.0,94.225,8.158000000000001,INTERMEDIATE,,,,,,,,,24.3,63.1,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Mercedes,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
VER,Red Bull Racing,Australian GP,High-Downforce,27.3,33.0,1018.9,0.0,84.771,0.7450000000000045,SUPERSOFT,29.5,25.5,1015.2,0.0,84.05799999999999,0.1269999999999953,ULTRASOFT,20.2,82.5,1009.8,0.0,91.68,5.613000000000014,INTERMEDIATE,,,,,,,,,24.3,63.1,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Red Bull Racing,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
RAI,Ferrari,Australian GP,High-Downforce,27.5,32.3,1018.6,0.0,84.875,0.8490000000000038,SOFT,29.9,25.8,1015.3,0.0,84.214,0.2830000000000012,ULTRASOFT,20.5,82.1,1009.6,0.0,88.499,2.432000000000002,ULTRASOFT,,,,,,,,,24.3,63.1,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Ferrari,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
VET,Ferrari,Australian GP,High-Downforce,27.6,32.0,1018.6,0.0,84.995,0.9690000000000084,SUPERSOFT,29.9,25.8,1015.3,0.0,84.50399999999999,0.5729999999999933,ULTRASOFT,20.4,82.2,1009.7,0.0,86.067,0.0,ULTRASOFT,,,,,,,,,24.3,63.1,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Ferrari,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
RIC,Red Bull Racing,Australian GP,High-Downforce,26.9,34.6,1019.3,0.0,85.063,1.037000000000006,ULTRASOFT,30.4,23.7,1015.2,0.0,88.07499999999999,4.143999999999991,ULTRASOFT,20.4,82.2,1009.7,0.0,94.043,7.976000000000013,INTERMEDIATE,,,,,,,,,24.3,63.1,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Red Bull Racing,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
GRO,Haas F1 Team,Australian GP,High-Downforce,27.0,33.3,1018.7,0.0,85.73,1.7040000000000075,ULTRASOFT,29.8,25.2,1015.2,0.0,84.648,0.7169999999999987,ULTRASOFT,20.0,84.4,1009.9,0.0,96.171,10.104000000000012,INTERMEDIATE,,,,,,,,,24.4,63.2,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Haas F1 Team,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
SAI,Renault,Australian GP,High-Downforce,27.0,32.8,1018.7,0.0,85.922,1.8960000000000008,SUPERSOFT,29.5,25.5,1015.2,0.0,85.38999999999999,1.458999999999989,ULTRASOFT,20.2,83.1,1009.7,0.0,93.172,7.105000000000004,INTERMEDIATE,,,,,,,,,24.4,63.2,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Alpine-Renault,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
HUL,Renault,Australian GP,High-Downforce,27.0,33.3,1018.7,0.0,86.583,2.557000000000002,SUPERSOFT,30.0,24.4,1015.1,0.0,88.924,4.993000000000009,SUPERSOFT,19.8,87.9,1010.3,0.0,98.482,12.415000000000006,INTERMEDIATE,,,,,,,,,24.4,63.2,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Alpine-Renault,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
MAG,Haas F1 Team,Australian GP,High-Downforce,27.5,32.3,1018.6,0.0,87.035,3.0090000000000003,ULTRASOFT,29.1,25.9,1015.2,0.0,85.24600000000001,1.315000000000012,ULTRASOFT,20.5,85.9,1009.9,0.0,96.807,10.740000000000007,INTERMEDIATE,,,,,,,,,24.4,63.2,1007.9,0.0,ULTRASOFT,2018,2023-2026,0,1,0,Haas F1 Team,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
HAM,Mercedes,Austrian GP,High-Downforce,20.1,67.2,933.9,0.0,64.839,0.0,ULTRASOFT,22.0,62.4,933.8,0.0,64.57900000000001,0.0,SOFT,22.8,59.9,934.2,0.0,64.099,0.0290000000000105,ULTRASOFT,,,,,,,,,24.5,38.4,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Mercedes,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
BOT,Mercedes,Austrian GP,High-Downforce,20.1,67.2,933.8,1.0,64.96600000000001,0.1270000000000095,ULTRASOFT,21.5,62.9,934.0,0.0,64.755,0.1759999999999877,ULTRASOFT,22.4,60.0,934.3,0.0,64.20400000000001,0.1340000000000145,ULTRASOFT,,,,,,,,,24.7,37.8,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Mercedes,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
VER,Red Bull Racing,Austrian GP,High-Downforce,20.1,67.2,933.9,0.0,65.072,0.2330000000000041,ULTRASOFT,21.8,62.3,933.9,0.0,65.125,0.5459999999999923,ULTRASOFT,22.5,60.9,934.2,0.0,64.791,0.7210000000000036,ULTRASOFT,,,,,,,,,24.5,38.4,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Red Bull Racing,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
VET,Ferrari,Austrian GP,High-Downforce,19.9,67.8,933.9,0.0,65.18,0.3410000000000082,ULTRASOFT,21.2,65.8,933.9,0.0,64.815,0.23599999999999,ULTRASOFT,22.6,59.9,934.4,0.0,64.07,0.0,ULTRASOFT,,,,,,,,,24.7,37.8,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Ferrari,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
RIC,Red Bull Racing,Austrian GP,High-Downforce,19.9,67.0,933.9,0.0,65.48299999999999,0.6439999999999912,ULTRASOFT,22.1,62.1,933.8,0.0,65.031,0.4519999999999982,SUPERSOFT,22.6,61.2,934.2,0.0,64.89099999999999,0.820999999999998,ULTRASOFT,,,,,,,,,25.2,37.2,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Red Bull Racing,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
RAI,Ferrari,Austrian GP,High-Downforce,19.8,68.2,933.9,0.0,65.776,0.9369999999999976,ULTRASOFT,21.4,63.2,934.1,0.0,65.265,0.6859999999999928,ULTRASOFT,22.6,64.1,934.3,0.0,64.47,0.4000000000000057,ULTRASOFT,,,,,,,,,24.7,37.8,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Ferrari,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
GRO,Haas F1 Team,Austrian GP,High-Downforce,19.7,68.7,933.9,0.0,66.02799999999999,1.188999999999993,SUPERSOFT,21.4,65.5,933.9,1.0,65.429,0.8499999999999943,ULTRASOFT,22.8,59.3,934.2,0.0,64.916,0.8460000000000036,ULTRASOFT,,,,,,,,,25.2,38.8,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Haas F1 Team,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
OCO,Force India,Austrian GP,High-Downforce,20.3,66.9,933.8,0.0,66.055,1.2160000000000082,SUPERSOFT,21.5,62.9,934.0,0.0,66.133,1.5539999999999878,ULTRASOFT,22.6,59.4,934.2,0.0,65.444,1.3740000000000094,ULTRASOFT,,,,,,,,,24.2,40.2,933.7,1.0,ULTRASOFT,2018,2023-2026,0,9,8,Force India-Racing Point-Aston Martin,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
LEC,Sauber,Austrian GP,High-Downforce,20.0,67.1,933.9,0.0,66.215,1.3760000000000048,ULTRASOFT,21.5,64.4,933.9,1.0,66.096,1.516999999999996,ULTRASOFT,22.8,59.3,934.2,0.0,65.219,1.149000000000001,ULTRASOFT,,,,,,,,,24.2,40.2,933.7,1.0,ULTRASOFT,2018,2023-2026,0,9,8,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
GAS,Toro Rosso,Austrian GP,High-Downforce,19.9,67.8,933.9,0.0,66.394,1.5550000000000068,SUPERSOFT,22.2,61.2,933.8,0.0,65.758,1.1789999999999878,SUPERSOFT,22.8,59.3,934.2,0.0,65.264,1.1940000000000026,ULTRASOFT,,,,,,,,,24.5,41.0,933.6,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
ERI,Sauber,Austrian GP,High-Downforce,20.2,67.1,933.9,1.0,66.4,1.561000000000007,ULTRASOFT,21.5,64.6,933.8,1.0,66.19900000000001,1.6200000000000043,ULTRASOFT,22.4,65.0,934.3,0.0,65.69900000000001,1.629000000000019,ULTRASOFT,,,,,,,,,25.0,42.7,933.6,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
MAG,Haas F1 Team,Austrian GP,High-Downforce,20.0,66.8,933.9,1.0,66.404,1.5649999999999975,SUPERSOFT,21.4,65.3,933.8,0.0,65.559,0.9799999999999898,ULTRASOFT,22.7,59.3,934.3,0.0,65.01299999999999,0.9429999999999978,ULTRASOFT,,,,,,,,,24.5,38.4,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Haas F1 Team,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
SAI,Renault,Austrian GP,High-Downforce,19.9,67.8,934.0,0.0,66.42699999999999,1.587999999999994,ULTRASOFT,21.6,62.8,934.0,0.0,65.999,1.4199999999999875,ULTRASOFT,23.2,61.3,934.2,0.0,65.086,1.0160000000000051,ULTRASOFT,,,,,,,,,24.7,37.8,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Alpine-Renault,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
PER,Force India,Austrian GP,High-Downforce,20.1,67.2,933.9,0.0,66.455,1.6159999999999997,SUPERSOFT,21.5,64.6,933.8,1.0,66.354,1.7749999999999917,ULTRASOFT,22.6,59.4,934.2,0.0,65.502,1.4320000000000022,ULTRASOFT,,,,,,,,,24.9,42.6,933.7,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Force India-Racing Point-Aston Martin,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
HUL,Renault,Austrian GP,High-Downforce,20.3,66.9,933.8,0.0,66.479,1.6400000000000006,ULTRASOFT,21.8,62.3,933.9,0.0,66.273,1.6939999999999884,ULTRASOFT,23.0,61.0,934.2,0.0,65.22800000000001,1.1580000000000157,ULTRASOFT,,,,,,,,,25.2,39.4,933.9,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Alpine-Renault,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
STR,Williams,Austrian GP,High-Downforce,20.1,66.8,933.8,0.0,66.567,1.7279999999999944,ULTRASOFT,21.5,62.9,934.0,0.0,66.626,2.046999999999997,ULTRASOFT,22.6,59.4,934.2,0.0,66.029,1.9590000000000032,ULTRASOFT,,,,,,,,,24.2,40.2,933.7,1.0,ULTRASOFT,2018,2023-2026,0,9,8,Williams,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
ALO,McLaren,Austrian GP,High-Downforce,20.2,67.1,933.9,0.0,66.612,1.772999999999996,SOFT,21.5,63.7,933.7,0.0,66.429,1.8499999999999943,SUPERSOFT,22.6,64.1,934.3,0.0,65.44800000000001,1.3780000000000143,ULTRASOFT,,,,,,,,,24.5,41.0,933.6,0.0,SOFT,2018,2023-2026,0,9,8,McLaren,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
VAN,McLaren,Austrian GP,High-Downforce,20.3,65.0,934.0,0.0,66.698,1.8589999999999949,SUPERSOFT,21.3,64.4,934.0,0.0,65.93,1.350999999999999,ULTRASOFT,22.1,66.1,934.5,0.0,65.83699999999999,1.766999999999996,ULTRASOFT,,,,,,,,,25.0,42.7,933.6,0.0,ULTRASOFT,2018,2023-2026,0,9,8,McLaren,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
HAR,Toro Rosso,Austrian GP,High-Downforce,20.0,67.1,933.9,0.0,66.871,2.0319999999999965,SUPERSOFT,22.2,61.3,933.8,0.0,66.332,1.752999999999986,SUPERSOFT,22.8,59.3,934.2,0.0,65.705,1.6350000000000051,ULTRASOFT,,,,,,,,,25.6,41.6,933.7,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
SIR,Williams,Austrian GP,High-Downforce,,,,,,,,21.8,62.3,933.9,0.0,66.32600000000001,1.747,ULTRASOFT,22.5,60.9,934.2,0.0,66.318,2.2480000000000047,ULTRASOFT,,,,,,,,,25.5,39.4,933.6,0.0,ULTRASOFT,2018,2023-2026,0,9,8,Williams,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
BOT,Mercedes,Azerbaijan GP,High-Downforce,23.1,39.8,1019.9,0.0,104.242,0.0,ULTRASOFT,19.3,60.2,1018.7,0.0,103.57,0.7749999999999915,ULTRASOFT,23.9,42.1,1015.2,0.0,103.569,0.4780000000000086,ULTRASOFT,,,,,,,,,22.8,45.9,1014.9,0.0,ULTRASOFT,2018,2023-2026,0,4,3,Mercedes,Street,Anti-clockwise,6.0,20,Low-speed,2200,12,5,3,3.33,Twisty
RIC,Red Bull Racing,Azerbaijan GP,High-Downforce,23.0,39.0,1019.8,0.0,104.27700000000002,0.0350000000000108,SUPERSOFT,19.8,59.1,1018.5,0.0,102.795,0.0,ULTRASOFT,24.0,41.2,1015.6,1.0,104.861,1.7700000000000102,ULTRASOFT,,,,,,,,,22.9,45.9,1015.0,0.0,ULTRASOFT,2018,2023-2026,0,4,3,Red Bull Racing,Street,Anti-clockwise,6.0,20,Low-speed,2200,12,5,3,3.33,Twisty
PER,Force India,Azerbaijan GP,High-Downforce,22.3,41.3,1019.5,0.0,105.075,0.8329999999999984,SUPERSOFT,19.8,58.4,1018.6,0.0,104.142,1.3469999999999942,ULTRASOFT,24.0,41.4,1015.3,0.0,103.936,0.8450000000000131,ULTRASOFT,,,,,,,,,22.8,45.9,1014.9,0.0,ULTRASOFT,2018,2023-2026,0,4,3,Force India-Racing Point-Aston Martin,Street,Anti-clockwise,6.0,20,Low-speed,2200,12,5,3,3.33,Twisty
HAM,Mercedes,Azerbaijan GP,High-Downforce,22.4,41.8,1019.9,0.0,105.2,0.9579999999999984,ULTRASOFT,19.8,58.4,1018.6,0.0,103.603,0.8079999999999927,ULTRASOFT,24.2,41.3,1015.2,0.0,103.452,0.3610000000000042,ULTRASOFT,,,,,,,,,22.8,45.9,1014.9,0.0,ULTRASOFT,2018,2023-2026,0,4,3,Mercedes,Street,Anti-clockwise,6.0,20,Low-speed,2200,12,5,3,3.33,Twisty
OCO,Force India,Azerbaijan GP,High-Downforce,22.8,39.6,1019.8,0.0,105.237,0.9949999999999904,SUPERSOFT,19.9,59.4,1018.5,0.0,103.814,1.0189999999999912,ULTRASOFT,23.9,41.7,1015.1,0.0,104.22,1.1290000000000049,ULTRASOFT,,,,,,,,,22.7,46.5,1015.2,0.0,ULTRASOFT,2018,2023-2026,0,4,3,Force India-Racing Point-Aston Martin,Street,Anti-clockwise,6.0,20,Low-speed,2200,12,5,3,3.33,Twisty
